,Epochs,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
0,1,62.85230440441539,68.91688256852669,1.4868791915552317,-0.09848007723065187
1,2,28.21352805614552,32.92883255828669,0.3763263869181369,1.772428580221801
2,3,18.871982378944537,21.210966330413925,-0.33407869802403184,1.0555312488880038
3,4,12.244123129160469,17.07631136022519,-0.6193205840708511,1.5773035991605602
4,5,10.213842555160422,14.539519420516317,0.20430157564606027,1.0209232171559948
5,6,10.724186804740015,13.69562662577108,2.7639388685411923,1.523573695698038
6,7,10.591566148410505,12.613377783422786,3.772397705923871,7.707603136994924
7,8,7.794902447313779,14.927208147313266,8.744230650494586,17.524820153920235
8,9,7.9261758836190985,12.265031320418307,21.643734618874763,36.759889009093136
9,10,8.022638421562446,13.279446284111092,40.43935409137363,51.019509619408396
10,11,9.40247849729112,12.741434904388125,57.16291119213795,62.67729303489638
11,12,9.214806954046814,12.620251329514058,67.5782904167474,67.25024788203014
12,13,9.92071650407018,13.291273545027915,75.59276666009657,68.54775363907075
13,14,9.422258939142832,14.141806513824378,78.17769544350774,68.47735497689169
14,15,9.340565390632282,13.082437368393316,77.1016018615715,69.45452261658818
15,16,8.268587591916612,15.049169157058461,78.18657513848862,69.53358191912116
16,17,9.107845877152581,12.524774689471803,77.67558896530997,67.45533626566183
17,18,10.4255170827624,13.613226037562027,77.93436430665625,69.49786080030995
18,19,8.669154668603344,13.9999043258574,79.62116445777937,68.25503186563982
19,20,9.582009171954436,13.263835224897178,78.83661502532426,69.95327102808147
20,21,8.962471884410117,12.05494969630083,79.20702346715515,70.1181269946316
21,22,8.324306188390848,14.240706530836174,76.96727413434648,69.63817015079599
22,23,8.184232558776984,13.445186599222117,78.20783080753277,68.96421186376638
23,24,8.84546666351541,12.995231957735088,78.89825505123866,68.9027184937337
24,25,9.312617281618977,10.822334419158306,78.08889712561758,69.64850653712838
25,26,10.80124649922346,13.102187871165285,76.46654611078293,68.2603859327667
26,27,9.81443346567911,12.541189945494281,78.61811918181137,68.2566663055436
27,28,7.837465675367774,12.584829859425467,76.93132942520104,70.31428096999252
28,29,8.098704700681472,13.357647704228832,76.75477373209812,70.86929605285883
29,30,10.882470408661197,12.950270794249253,76.57638352231537,68.97511234237585
30,31,7.335817727503093,13.75660956329682,78.99866914336395,69.21866376657162
31,32,7.921359713961217,14.149969123248365,78.25157285958484,68.66766204784749
32,33,10.338696148358112,13.394132589078918,79.27737334554968,68.78751141070967
33,34,7.929660412109232,12.804196989350318,77.19421949607762,69.20049909209155
34,35,8.385787961450212,14.275463649960969,76.52725778171222,68.73713767026588
35,36,9.10833158133997,11.245362283206923,77.73519987927821,69.46703433251425
36,37,8.62095384210286,11.996172285638165,79.32499920154532,66.67734966094145
37,38,8.568655080328158,13.050827577344947,78.03153215931846,69.89181831100875
38,39,9.080583732789702,12.281937472672775,78.68674768421803,70.79556341304283
39,40,9.165675530826823,13.23758340087322,77.07445921196751,68.59481691607107
